TIC ID,Notes,Planet Radius (Earth Radii),Period (days),Transit Duration (Hours),Signal Detection Efficiency (SDE),Classification,Observed Sectors [String],N Sectors Observed,dist,ra,dec,eclat,eclong,Teff,logg,M_star,R_star,rho,Tmag,Vmag,Gmag,rmag,imag,Zmag,Hmag,Kmag
70597126,,,,,,,Sector  5,1.0,32.4382,60.7645288340453,-13.0909188917488,-33.0858028292684,55.4052214919392,2896.0,5.20052,0.092,0.149,41.285,14.4249,19.06,15.969,,,,11.919,11.641
36724087,,,,,,,Sector  9,1.0,21.9814,154.64640455881,-11.7167337731632,-20.6768223283533,161.044832375418,3331.0,4.85074,,0.374139010906219,6.91253,10.5848,13.14,11.8465,,,,8.439,8.204
170636897,,,,,,,"Sector  4, Sector  5",2.0,13.3991,66.6360149347778,-30.8005154280028,-51.5779356380586,56.7610204322439,3118.0,5.01434,0.191,0.218,16.3732,11.0692,14.054,12.4685,,,,8.718,8.411
156646255,,,,,,,Sector 23,1.0,21.6717,215.583662575971,23.8764053394469,35.663182015851,203.747300173356,3056.0,5.04071,0.175,0.206,18.7677,12.3753,16.03,13.8178,14.794,13.3662,12.0962,9.911,9.647
309153361,,,,,,,Sector 11,1.0,30.3645,221.167159542012,-22.2461394563667,-6.02693116351831,225.522299287352,3120.0,4.94327,0.166,0.2,11.2498,12.3857,15.377,13.7905,,,,9.992,9.644
258770842,,,,,,,Sector 17,1.0,30.7671,10.4810220242205,13.6879389297776,8.44167560227535,15.0162760833347,3303.0,4.90241,0.241,0.255,9.05349,11.7281,14.297,13.0138,13.7067,15.4552,11.5232,9.574,9.347
161032923,,,,,,,Sector 13,1.0,25.559,276.370224226743,-52.2142734787362,-28.8734048041116,274.452480329454,3227.0,5.06391,,0.284,21.1271,12.7067,15.349,14.0343,,,,10.467,10.17
238176832,,,,,,,Sector  1,1.0,12.3423,358.355099349673,-70.9447632646802,-59.7096206644878,310.317189858783,3245.0,4.95471,0.242,0.256,11.9559,10.3236,13.057,11.632,,,,8.1,7.779
434178208,,,,,,,Sector 24,1.0,27.9211,342.649753404609,61.7693755815152,59.8209884574032,26.0850383232898,3125.0,4.9667,0.198,0.223,12.7422,12.3485,15.44,13.7541,,,,9.911,9.645
8767137,,,,,,,Sector 21,1.0,47.50476,140.088866445222,32.3630851154061,15.9942375974066,132.375679800773,3389.0,4.72981,0.439,0.418,3.84846,11.1617,13.512,12.3951,14.4444,11.8533,11.2953,8.966,8.682
453002670,,,,,,,Sector  7,1.0,19.3621,122.700209821501,1.15325351724429,-18.4332168708884,124.704599435725,3040.0,5.08932,0.21,0.232,24.0099,12.4834,15.694,13.9323,15.026,13.4922,12.2519,10.06,9.744
97526835,,,,,,,Sector 22,1.0,30.4862,167.499841871555,21.5563146470808,14.8935091391401,159.980321225058,3254.0,4.90714,0.249,0.261,9.28309,11.9147,14.589,13.2366,14.0347,12.7773,11.7756,9.63,9.365
161727024,,,,,,,"Sector 15, Sector 16, Sector 18, Sector 22, Sector 23, Sector 24",6.0,23.1339,237.015176303917,59.6503950685929,73.8094357965109,189.410978555007,3254.0,4.8972,0.285,0.29,8.80734,11.2681,13.938,12.5834,13.5229,12.0153,12.5769,8.974,8.686
352567256,,,,,,,Sector 13,1.0,23.8435,326.17203036116,-74.3658965312582,-55.4730942577043,293.264650101733,3361.0,4.99708,0.23,0.247,14.96,11.8466,14.26,13.0932,,,,9.782,9.534
41861331,,,,,,,Sector  3,1.0,52.1332,20.7257245866499,-37.9748577411727,-42.4936440111755,0.869567318833549,3297.0,4.92151,0.156,0.193,10.0192,13.0392,16.51,14.3283,,,,10.88,10.645
365779699,,,,,,,Sector  6,1.0,10.2033,82.000630835308,9.64393184738639,-13.5703332306111,81.8864349490117,3322.0,4.97747,0.216,0.237,13.4905,9.92544,12.448,11.1808,,,,7.84,7.542
204325302,,,,,,,Sector  2,1.0,22.0608,346.813545101117,-23.1316159227638,-16.0801624878685,338.719474650987,3346.0,4.91656,0.282,0.287,9.75898,11.1391,13.589,12.3909,,,,8.993,8.738
376935746,,,,,,,"Sector  1, Sector  2, Sector  5, Sector 12, Sector 13",5.0,22.0164,59.8100815548234,-78.6246825551137,-75.3012840908978,293.009913120489,3099.0,5.08658,0.16,0.196,23.6827,12.6376,15.98,14.0502,,,,10.362,10.004
169421326,,,,,,,Sector  5,1.0,26.5241,77.3306807369037,-13.8113819734668,-36.576691084921,74.6203585958691,2981.0,5.03229,0.139,0.181,17.9707,12.8482,15.96,14.3352,,,,10.352,10.025
181804752,,,,,,,Sector  9,1.0,26.4927,165.691476612015,-16.4061904736575,-20.698071013271,173.544988680275,2949.0,5.12123,0.149,0.188,28.1241,13.5571,16.91,15.0715,16.2672,14.3142,13.2565,10.993,10.644
