TIC ID,Notes,Planet Radius (Earth Radii),Period (days),Transit Duration (Hours),Signal Detection Efficiency (SDE),Classification,Observed Sectors [String],N Sectors Observed,dist,ra,dec,eclat,eclong,Teff,logg,M_star,R_star,rho,Tmag,Vmag,Gmag,rmag,imag,Zmag,Hmag,Kmag
396562848,,,,,,,"Sector 18, Sector 19, Sector 25, Sector 26",4.0,18.2276,44.3260796956173,76.5531250821211,55.8628153562061,72.7560035717753,3414.0,4.97292,,0.260187,13.1695,11.0548,13.304,12.2598,12.9473,14.8547,12.3572,9.028,8.767
436678563,,,,,,,Sector  5,1.0,25.8434,73.4585368126771,15.8209104663937,-6.70373205469157,73.9897332021736,3447.0,4.8585,0.305,0.305,7.1943,10.9231,13.205,12.1101,,,,8.892,8.617
458451774,,,,,,,Sector 22,1.0,39.2687,193.824761862098,44.523913342283,45.3254261480228,169.956135730808,3476.0,4.82238,0.352,0.344,5.98705,11.521,13.713,12.6913,13.4846,12.1659,12.1208,9.435,9.242
116278838,,,,,,,"Sector 16, Sector 23",2.0,35.0873,220.977093031312,43.5962889829875,55.2431710553283,196.44863465615,3417.0,4.8783,0.384,0.371,7.97433,11.7143,14.022,12.9231,14.2986,12.438,12.2421,9.67,9.439
452989720,,,,,,,"Sector 17, Sector 18",2.0,38.2558,8.77034185044262,59.8855263946151,49.7483973846592,39.8775095417509,3203.0,4.94586,0.25,0.263,11.4054,12.7315,16.35,14.0839,,,,10.401,10.166
254191473,,,,,,,Sector 13,1.0,31.5214,287.644209297592,-41.5624406026611,-18.969332105452,283.875754259363,3369.0,4.85645,0.218,0.238,7.11864,11.433,14.43,12.6659,,,,9.245,9.032
63781635,,,,,,,Sector 18,1.0,10.3361,34.2917450718719,35.4423755623737,20.4537096744195,44.0792737605342,2848.0,5.18046,0.113,0.164,37.4942,12.1194,15.98,13.7177,,,,9.351,9.011
332802359,,,,,,,Sector  4,1.0,26.3297,33.537511313273,-1.76622996051979,-14.3555826134449,30.6855989178437,3263.0,4.96186,0.232,0.248,12.4189,11.9951,14.657,13.3027,14.1092,12.8334,11.8427,9.761,9.48
17970570,,,,,,,Sector 22,1.0,17.6834,170.678232279566,37.9301020085137,30.8742156124906,155.073509651451,2848.0,5.20045,0.094,0.15,41.2712,13.3852,17.25,14.9881,16.5176,14.28,13.0554,10.643,10.323
416740234,,,,,,,Sector  5,1.0,20.5314,53.9717986907761,10.285858579175,-8.78333359838828,54.1547435564843,3185.0,5.07185,0.177,0.208,21.9928,12.2555,15.129,13.613,,,,10.021,9.75
